"number","short_description","priority","cmdb_ci","sys_created_on","description","assigned_to","assignment_group","state","resolved_at","problem_id","category","subcategory","u_issue","caller_id","close_notes","work_notes","contact_type","u_aging","u_aging_category","close_code","u_resolution_code","u_action_code","u_caused_by_change","u_impacted_applications","caused_by","u_actual_elapsed_time","u_applications_impacted","comments"
"INC10000","Database timeout","3 - Moderate","API Gateway","46088.33611111111","Auto generated incident for monitoring/testing dataset","Meena R","Integration Team","Resolved","46088.55625","PRB20000","Access","Validation","Delay","User","Issue resolved after investigation","Logs checked and remediation performed","Web","2.0","0-5 Days","Solution provided","User Correction","Restart service","No","Notification Service","Database","1934.0","No","Auto generated sample comment"
"INC10001","Database timeout","3 - Moderate","Data Pipeline","46092.40902777778","Auto generated incident for monitoring/testing dataset","Arjun K","Data Engineering","Resolved","46092.552083333336","PRB20001","Access","Sync","Failure","Guest","Issue resolved after investigation","Logs checked and remediation performed","Phone","2.0","0-5 Days","Known Error","Re-run Job","Restart service","Yes","Data Pipeline","ETL Job","9354.0","No","Auto generated sample comment"
"INC10002","Email delay","1 - Critical","Customer Portal","46083.31319444445","Auto generated incident for monitoring/testing dataset","Arjun K","Service Desk","Resolved","46083.600694444445","PRB20002","Data","Sync","Timeout","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Web","3.0","0-5 Days","No resolution provided","Resolved by Troubleshooting","Restart service","Yes","Auth Service","Queue","6841.0","No","Auto generated sample comment"
"INC10003","Email delay","1 - Critical","API Gateway","46089.603472222225","Auto generated incident for monitoring/testing dataset","Ajay T","DB Team","Resolved","46089.71875","PRB20003","Database","Authentication","Failure","User","Issue resolved after investigation","Logs checked and remediation performed","Web","0.0","0-5 Days","No resolution provided","Monitoring","Reset password","Yes","Payment Service","User Action","10296.0","No","Auto generated sample comment"
"INC10004","API latency alert","2 - High","Notification Service","46083.23125","Auto generated incident for monitoring/testing dataset","Priya M","Service Desk","Resolved","46083.277083333334","PRB20004","Integration","Validation","Failure","Guest","Issue resolved after investigation","Logs checked and remediation performed","Web","2.0","0-5 Days","Known Error","Monitoring","Restart pipeline","Yes","Data Pipeline","User Action","19130.0","Yes","Auto generated sample comment"
"INC10005","ETL job failure","3 - Moderate","Data Pipeline","46086.78611111111","Auto generated incident for monitoring/testing dataset","Deepa N","DB Team","Resolved","46086.98333333333","PRB20005","Database","Jobs","Error Message","User","Issue resolved after investigation","Logs checked and remediation performed","Monitoring","1.0","0-5 Days","Known Error","Re-run Job","Restart pipeline","Yes","Customer Portal","Database","2555.0","No","Auto generated sample comment"
"INC10006","Database timeout","4 - Low","Auth Service","46087.794444444444","Auto generated incident for monitoring/testing dataset","Meena R","App Support","Resolved","46088.14027777778","PRB20006","Application","Jobs","Crash","Guest","Issue resolved after investigation","Logs checked and remediation performed","Monitoring","2.0","0-5 Days","Solution provided","Re-run Job","Restart service","Yes","Customer DB","ETL Job","16131.0","Yes","Auto generated sample comment"
"INC10007","Database timeout","1 - Critical","Data Pipeline","46091.77361111111","Auto generated incident for monitoring/testing dataset","Ajay T","App Support","Resolved","46091.964583333334","PRB20007","Access","Jobs","Crash","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Email","2.0","0-5 Days","No resolution provided","Resolved by Troubleshooting","Restart pipeline","Yes","Customer DB","User Action","1879.0","Yes","Auto generated sample comment"
"INC10008","Email delay","3 - Moderate","Customer Portal","46095.256944444445","Auto generated incident for monitoring/testing dataset","Arjun K","Data Engineering","Resolved","46095.40555555555","PRB20008","Application","Jobs","Latency","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Phone","0.0","0-5 Days","No resolution provided","Monitoring","Reset password","No","Auth Service","Database","3591.0","Yes","Auto generated sample comment"
"INC10009","Email delay","3 - Moderate","Customer Portal","46090.95","Auto generated incident for monitoring/testing dataset","Priya M","Data Engineering","Resolved","46091.02222222222","PRB20009","Data","Performance","Latency","Monitoring System","Issue resolved after investigation","Logs checked and remediation performed","Email","1.0","0-5 Days","Known Error","Monitoring","Clear cache","Yes","Data Pipeline","API","18062.0","Yes","Auto generated sample comment"
"INC10010","Batch job failure","1 - Critical","Payment Service","46086.967361111114","Auto generated incident for monitoring/testing dataset","Arjun K","Integration Team","Resolved","46087.28888888889","PRB20010","Data","Validation","Error Message","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Web","3.0","0-5 Days","Known Error","Re-run Job","Re-run job","No","Notification Service","Database","18892.0","Yes","Auto generated sample comment"
"INC10011","API latency alert","2 - High","Customer Portal","46093.802083333336","Auto generated incident for monitoring/testing dataset","Ajay T","DB Team","Resolved","46094.1","PRB20011","Integration","Sync","Error Message","Monitoring System","Issue resolved after investigation","Logs checked and remediation performed","Web","0.0","0-5 Days","Solution provided","Re-run Job","Restart pipeline","Yes","Data Pipeline","Cache","16750.0","Yes","Auto generated sample comment"
"INC10012","Batch job failure","1 - Critical","Notification Service","46089.70277777778","Auto generated incident for monitoring/testing dataset","Arjun K","Web Team","Resolved","46089.842361111114","PRB20012","Integration","Sync","Crash","User","Issue resolved after investigation","Logs checked and remediation performed","Phone","2.0","0-5 Days","Known Error","Re-run Job","Reset password","Yes","Customer Portal","Database","4908.0","Yes","Auto generated sample comment"
"INC10013","Login issue","1 - Critical","API Gateway","46089.31041666667","Auto generated incident for monitoring/testing dataset","Deepa N","App Support","Resolved","46089.584027777775","PRB20013","Infrastructure","Jobs","Failure","Guest","Issue resolved after investigation","Logs checked and remediation performed","Web","1.0","0-5 Days","Solution provided","User Correction","Restart service","No","Payment Service","User Action","7281.0","No","Auto generated sample comment"
"INC10014","ETL job failure","2 - High","Customer Portal","46093.16875","Auto generated incident for monitoring/testing dataset","Rahul S","SRE Team","Resolved","46093.211805555555","PRB20014","Integration","Authentication","Latency","Monitoring System","Issue resolved after investigation","Logs checked and remediation performed","Phone","2.0","0-5 Days","Known Error","User Correction","Restart service","Yes","Notification Service","User Action","19753.0","No","Auto generated sample comment"
"INC10015","Email delay","3 - Moderate","Customer Portal","46087.285416666666","Auto generated incident for monitoring/testing dataset","Deepa N","SRE Team","Resolved","46087.52361111111","PRB20015","Access","Validation","Latency","User","Issue resolved after investigation","Logs checked and remediation performed","Monitoring","3.0","0-5 Days","Solution provided","Re-run Job","Clear cache","Yes","Data Pipeline","Queue","9216.0","Yes","Auto generated sample comment"
"INC10016","Batch job failure","4 - Low","Notification Service","46087.16388888889","Auto generated incident for monitoring/testing dataset","Karthik P","Data Engineering","Resolved","46087.29305555556","PRB20016","Database","Validation","Crash","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Web","1.0","0-5 Days","Known Error","Monitoring","Clear cache","No","Customer DB","Database","8999.0","No","Auto generated sample comment"
"INC10017","UI slow loading","3 - Moderate","API Gateway","46086.24097222222","Auto generated incident for monitoring/testing dataset","Karthik P","DB Team","Resolved","46086.53680555556","PRB20017","Integration","Messaging","Timeout","Guest","Issue resolved after investigation","Logs checked and remediation performed","Web","2.0","0-5 Days","No resolution provided","Resolved by Troubleshooting","Restart service","Yes","Customer DB","ETL Job","3368.0","No","Auto generated sample comment"
"INC10018","Login issue","1 - Critical","API Gateway","46094.39236111111","Auto generated incident for monitoring/testing dataset","Ajay T","Web Team","Resolved","46094.65416666667","PRB20018","Application","Performance","Delay","Guest","Issue resolved after investigation","Logs checked and remediation performed","Phone","2.0","0-5 Days","Known Error","Re-run Job","Restart pipeline","No","Auth Service","Database","4570.0","No","Auto generated sample comment"
"INC10019","API latency alert","4 - Low","Customer Portal","46091.9875","Auto generated incident for monitoring/testing dataset","Ajay T","Data Engineering","Resolved","46092.28472222222","PRB20019","Access","Authentication","Crash","Guest","Issue resolved after investigation","Logs checked and remediation performed","Web","1.0","0-5 Days","No resolution provided","User Correction","Restart service","Yes","API Gateway","Cache","6689.0","No","Auto generated sample comment"
"INC10020","Database timeout","1 - Critical","Data Pipeline","46091.919444444444","Auto generated incident for monitoring/testing dataset","Ajay T","Data Engineering","Resolved","46092.05763888889","PRB20020","Data","Jobs","Failure","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Phone","1.0","0-5 Days","Known Error","Re-run Job","Restart pipeline","No","Customer Portal","API","6502.0","No","Auto generated sample comment"
"INC10021","Batch job failure","3 - Moderate","API Gateway","46084.00208333333","Auto generated incident for monitoring/testing dataset","Karthik P","Service Desk","Resolved","46084.28611111111","PRB20021","Database","Authentication","Latency","Monitoring System","Issue resolved after investigation","Logs checked and remediation performed","Web","0.0","0-5 Days","No resolution provided","User Correction","Restart pipeline","No","Customer DB","Cache","13637.0","Yes","Auto generated sample comment"
"INC10022","ETL job failure","2 - High","Notification Service","46089.25625","Auto generated incident for monitoring/testing dataset","Priya M","Web Team","Resolved","46089.322916666664","PRB20022","Access","Messaging","Error Message","User","Issue resolved after investigation","Logs checked and remediation performed","Monitoring","0.0","0-5 Days","Solution provided","Resolved by Troubleshooting","Clear cache","No","Customer DB","Database","10783.0","No","Auto generated sample comment"
"INC10023","API latency alert","1 - Critical","Payment Service","46085.27638888889","Auto generated incident for monitoring/testing dataset","Arjun K","Integration Team","Resolved","46085.42013888889","PRB20023","Data","Sync","Timeout","Monitoring System","Issue resolved after investigation","Logs checked and remediation performed","Phone","1.0","0-5 Days","No resolution provided","User Correction","Re-run job","Yes","Payment Service","User Action","14799.0","No","Auto generated sample comment"
"INC10024","Login issue","2 - High","Auth Service","46096.11388888889","Auto generated incident for monitoring/testing dataset","Karthik P","DB Team","Resolved","46096.15138888889","PRB20024","Infrastructure","Sync","Timeout","User","Issue resolved after investigation","Logs checked and remediation performed","Monitoring","1.0","0-5 Days","No resolution provided","Resolved by Troubleshooting","Clear cache","Yes","Customer DB","Queue","13420.0","Yes","Auto generated sample comment"
"INC10025","API latency alert","1 - Critical","Payment Service","46096.15902777778","Auto generated incident for monitoring/testing dataset","Arjun K","Data Engineering","Resolved","46096.353472222225","PRB20025","Database","Sync","Error Message","User","Issue resolved after investigation","Logs checked and remediation performed","Email","1.0","0-5 Days","Known Error","Monitoring","Clear cache","Yes","Auth Service","Queue","19996.0","No","Auto generated sample comment"
"INC10026","API latency alert","3 - Moderate","Notification Service","46092.36944444444","Auto generated incident for monitoring/testing dataset","Priya M","Service Desk","Resolved","46092.697222222225","PRB20026","Database","Jobs","Timeout","User","Issue resolved after investigation","Logs checked and remediation performed","Monitoring","3.0","0-5 Days","No resolution provided","Monitoring","Restart pipeline","No","Customer DB","User Action","13447.0","Yes","Auto generated sample comment"
"INC10027","Database timeout","2 - High","Payment Service","46084.67222222222","Auto generated incident for monitoring/testing dataset","Deepa N","Service Desk","Resolved","46084.69861111111","PRB20027","Data","Sync","Latency","User","Issue resolved after investigation","Logs checked and remediation performed","Monitoring","1.0","0-5 Days","Known Error","User Correction","Clear cache","Yes","Data Pipeline","ETL Job","4125.0","No","Auto generated sample comment"
"INC10028","UI slow loading","2 - High","Customer Portal","46093.25625","Auto generated incident for monitoring/testing dataset","Arjun K","Service Desk","Resolved","46093.47152777778","PRB20028","Integration","Validation","Timeout","Monitoring System","Issue resolved after investigation","Logs checked and remediation performed","Phone","3.0","0-5 Days","No resolution provided","Monitoring","Reset password","Yes","Auth Service","Database","8185.0","Yes","Auto generated sample comment"
"INC10029","ETL job failure","3 - Moderate","API Gateway","46086.94097222222","Auto generated incident for monitoring/testing dataset","Ajay T","DB Team","Resolved","46087.23055555556","PRB20029","Integration","Performance","Error Message","Guest","Issue resolved after investigation","Logs checked and remediation performed","Web","3.0","0-5 Days","Solution provided","Re-run Job","Clear cache","No","Notification Service","Database","15324.0","Yes","Auto generated sample comment"
"INC10030","Email delay","1 - Critical","Data Pipeline","46095.72083333333","Auto generated incident for monitoring/testing dataset","Deepa N","App Support","Resolved","46095.845138888886","PRB20030","Application","Authentication","Delay","User","Issue resolved after investigation","Logs checked and remediation performed","Web","3.0","0-5 Days","Solution provided","Re-run Job","Restart service","No","Payment Service","Queue","7755.0","Yes","Auto generated sample comment"
"INC10031","Email delay","3 - Moderate","Payment Service","46094.18958333333","Auto generated incident for monitoring/testing dataset","Karthik P","App Support","Resolved","46094.510416666664","PRB20031","Application","Validation","Error Message","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Email","3.0","0-5 Days","No resolution provided","Resolved by Troubleshooting","Re-run job","No","Customer Portal","ETL Job","1015.0","Yes","Auto generated sample comment"
"INC10032","API latency alert","3 - Moderate","Customer Portal","46093.95347222222","Auto generated incident for monitoring/testing dataset","Rahul S","Web Team","Resolved","46094.2125","PRB20032","Infrastructure","Sync","Failure","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Web","1.0","0-5 Days","Solution provided","User Correction","Restart service","Yes","API Gateway","Queue","9157.0","No","Auto generated sample comment"
"INC10033","API latency alert","1 - Critical","Data Pipeline","46091.86875","Auto generated incident for monitoring/testing dataset","Ajay T","Integration Team","Resolved","46091.924305555556","PRB20033","Access","Jobs","Timeout","User","Issue resolved after investigation","Logs checked and remediation performed","Email","1.0","0-5 Days","Solution provided","Re-run Job","Clear cache","No","API Gateway","API","11351.0","No","Auto generated sample comment"
"INC10034","ETL job failure","3 - Moderate","Customer Portal","46091.240277777775","Auto generated incident for monitoring/testing dataset","Karthik P","Integration Team","Resolved","46091.30972222222","PRB20034","Access","Performance","Failure","User","Issue resolved after investigation","Logs checked and remediation performed","Email","1.0","0-5 Days","Solution provided","Resolved by Troubleshooting","Re-run job","No","Auth Service","Cache","18547.0","Yes","Auto generated sample comment"
"INC10035","UI slow loading","4 - Low","Auth Service","46091.60486111111","Auto generated incident for monitoring/testing dataset","Meena R","Data Engineering","Resolved","46091.89375","PRB20035","Application","Validation","Latency","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Email","1.0","0-5 Days","No resolution provided","Monitoring","Restart pipeline","Yes","Customer Portal","Database","10250.0","Yes","Auto generated sample comment"
"INC10036","Login issue","2 - High","Data Pipeline","46084.94097222222","Auto generated incident for monitoring/testing dataset","Rahul S","Data Engineering","Resolved","46085.027083333334","PRB20036","Database","Validation","Failure","User","Issue resolved after investigation","Logs checked and remediation performed","Phone","0.0","0-5 Days","Solution provided","Re-run Job","Reset password","No","Customer DB","User Action","19899.0","No","Auto generated sample comment"
"INC10037","Email delay","4 - Low","Payment Service","46092.28055555555","Auto generated incident for monitoring/testing dataset","Ajay T","SRE Team","Resolved","46092.44861111111","PRB20037","Integration","Sync","Timeout","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Phone","3.0","0-5 Days","Solution provided","Resolved by Troubleshooting","Restart service","Yes","Customer Portal","Queue","18935.0","No","Auto generated sample comment"
"INC10038","UI slow loading","2 - High","Customer Portal","46086.959027777775","Auto generated incident for monitoring/testing dataset","Ajay T","Integration Team","Resolved","46087.03888888889","PRB20038","Data","Messaging","Timeout","Guest","Issue resolved after investigation","Logs checked and remediation performed","Monitoring","3.0","0-5 Days","Known Error","Re-run Job","Restart pipeline","Yes","Notification Service","Queue","14536.0","Yes","Auto generated sample comment"
"INC10039","Batch job failure","3 - Moderate","Customer DB","46091.129166666666","Auto generated incident for monitoring/testing dataset","Arjun K","Data Engineering","Resolved","46091.200694444444","PRB20039","Access","Sync","Delay","Guest","Issue resolved after investigation","Logs checked and remediation performed","Email","3.0","0-5 Days","Known Error","Monitoring","Restart service","Yes","Customer Portal","Cache","1295.0","Yes","Auto generated sample comment"
"INC10040","Batch job failure","2 - High","Auth Service","46085.88402777778","Auto generated incident for monitoring/testing dataset","Rahul S","Data Engineering","Resolved","46086.20625","PRB20040","Data","Sync","Timeout","User","Issue resolved after investigation","Logs checked and remediation performed","Web","2.0","0-5 Days","Known Error","User Correction","Clear cache","Yes","Notification Service","Database","16476.0","No","Auto generated sample comment"
"INC10041","API latency alert","1 - Critical","Customer DB","46093.88958333333","Auto generated incident for monitoring/testing dataset","Deepa N","SRE Team","Resolved","46094.09097222222","PRB20041","Access","Jobs","Failure","User","Issue resolved after investigation","Logs checked and remediation performed","Web","2.0","0-5 Days","Solution provided","Resolved by Troubleshooting","Re-run job","Yes","Customer Portal","Cache","3675.0","Yes","Auto generated sample comment"
"INC10042","Batch job failure","4 - Low","Auth Service","46091.33819444444","Auto generated incident for monitoring/testing dataset","Karthik P","Integration Team","Resolved","46091.65138888889","PRB20042","Data","Authentication","Failure","Monitoring System","Issue resolved after investigation","Logs checked and remediation performed","Monitoring","3.0","0-5 Days","Known Error","Re-run Job","Restart service","No","Payment Service","API","15006.0","No","Auto generated sample comment"
"INC10043","UI slow loading","1 - Critical","Payment Service","46082.489583333336","Auto generated incident for monitoring/testing dataset","Meena R","SRE Team","Resolved","46082.62986111111","PRB20043","Infrastructure","Messaging","Latency","Guest","Issue resolved after investigation","Logs checked and remediation performed","Monitoring","2.0","0-5 Days","Known Error","Monitoring","Reset password","Yes","Payment Service","Database","2467.0","Yes","Auto generated sample comment"
"INC10044","ETL job failure","3 - Moderate","API Gateway","46091.51666666667","Auto generated incident for monitoring/testing dataset","Priya M","Integration Team","Resolved","46091.834027777775","PRB20044","Infrastructure","Messaging","Error Message","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Web","1.0","0-5 Days","Solution provided","User Correction","Reset password","No","Data Pipeline","Queue","12705.0","No","Auto generated sample comment"
"INC10045","Login issue","1 - Critical","Payment Service","46087.35277777778","Auto generated incident for monitoring/testing dataset","Rahul S","DB Team","Resolved","46087.4375","PRB20045","Application","Jobs","Delay","Monitoring System","Issue resolved after investigation","Logs checked and remediation performed","Phone","3.0","0-5 Days","Known Error","Resolved by Troubleshooting","Restart pipeline","No","API Gateway","Database","1890.0","Yes","Auto generated sample comment"
"INC10046","Login issue","2 - High","API Gateway","46087.99652777778","Auto generated incident for monitoring/testing dataset","Deepa N","Web Team","Resolved","46088.040972222225","PRB20046","Integration","Jobs","Latency","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Email","0.0","0-5 Days","Known Error","User Correction","Restart pipeline","No","Payment Service","Cache","14040.0","No","Auto generated sample comment"
"INC10047","API latency alert","4 - Low","Data Pipeline","46082.40347222222","Auto generated incident for monitoring/testing dataset","Karthik P","Service Desk","Resolved","46082.620833333334","PRB20047","Data","Validation","Latency","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Monitoring","2.0","0-5 Days","No resolution provided","User Correction","Re-run job","Yes","Customer Portal","Database","12488.0","No","Auto generated sample comment"
"INC10048","Email delay","4 - Low","Customer Portal","46094.95416666667","Auto generated incident for monitoring/testing dataset","Deepa N","App Support","Resolved","46095.15902777778","PRB20048","Data","Messaging","Latency","Monitoring System","Issue resolved after investigation","Logs checked and remediation performed","Web","1.0","0-5 Days","No resolution provided","User Correction","Re-run job","Yes","Customer DB","User Action","15764.0","No","Auto generated sample comment"
